0_0_0_0_-1;1.633597E-37;8.667344E-23;2.319638E-30
0_-4_3_-5_-1;7.505777E-20;2.182163;1.656274E-18
-1_-4_3_0_-1;0.08570029;10.13421;0.8047662
-1_-4_3_4_-1;7.377836E-05;2.062733;1.143591E-18
-1_-4_3_-5_-1;0.06367178;9.634581;0.3073824
-2_-4_3_4_-1;6.887788E-28;5.190896E-19;1.16831
-2_-4_3_0_-1;0.009768703;1.691561;4.599159
-2_-4_3_-5_-1;0.1203048;1.141672;4.642378
-3_-4_3_0_-1;-5.858973E-05;-1.047839E-05;-9.079872E-06
-3_-4_3_4_-1;-7.808158E-06;-1.193466E-05;-4.20174E-06
-3_-4_3_-5_-1;-2.645912E-06;-4.11474E-06;-3.862909E-06
-4_-4_3_4_-1;-0.01509001;-0.02402683;-0.0008744856
-4_-4_3_0_-1;-0.02017638;-0.03811111;-0.03871134
-4_-4_3_-5_-1;-0.02268533;-0.02893102;-0.02478619
-5_-4_3_0_-1;-0.02449743;-0.03651497;-0.0336152
-5_-4_3_-5_-1;-0.02140272;-0.03606484;-0.02371011
-5_-4_3_4_-1;-0.02193517;-0.0339818;-0.01707975
-5_3_3_-5_1;-0.4402687;-1.067796;-1.125113
-4_3_3_-5_1;-0.957948;-0.947596;-1.735071
-4_3_3_4_1;-0.8985002;-1.594326;-1.397444
-4_3_3_0_1;-0.0475342;-1.031592;-1.258693
-3_3_3_-5_1;-0.9790142;-1.029719;-1.519655
-3_3_3_0_1;-0.04957604;-1.323725;-1.224699
-3_3_3_4_1;-0.05303718;-1.592746;-1.358561
-2_3_3_0_1;0.1698503;-0.7599362;-0.591409
-2_3_3_-5_1;0.2356343;-0.007722302;-0.3981118
-2_3_3_4_1;-0.6060396;0.3364929;-0.6179822
-2_3_-4_0_1;-5.370448E-39;2.256848E-11;0.708766
-1_3_-4_0_1;0.9884878;0.02869033;6.60888
-1_3_-4_-5_1;3.776129E-05;6.89742;2.146655E-05
0_3_-4_-5_1;7.738401E-05;6.761857;1.063088
0_3_-4_4_1;5.388342E-38;4.777271E-18;1.810083
0_3_-4_0_1;0.1095221;0.0004044909;6.522944
1_3_-4_-5_1;-4.566601E-35;1.287727;3.578504E-30
1_3_-4_0_1;-0.01037384;1.969;0.3117298
1_3_-4_4_1;-0.0004317585;1.741717;0.3784336
2_3_-4_0_1;-0.0496091;-0.08153742;-0.05904533
2_3_-4_4_1;-0.04975342;-0.06375892;-0.08359832
2_3_-4_-5_1;-0.047139;-0.05745844;-0.04045402
3_3_-4_-5_1;-0.003653774;-0.005328311;-0.006875561
3_3_-4_4_1;-0.003744948;-0.006745278;-0.006719941
3_3_-4_0_1;-0.003590819;-0.005736824;-0.006776295
3_-4_-4_4_-1;-0.002417222;-0.004708122;-0.01033552
2_-4_-4_4_-1;-0.004747136;-0.005965227;-0.01715602
2_-4_-4_-5_-1;-0.01309108;-0.009112329;-0.01179188
2_-4_-4_0_-1;-0.01070601;-0.01577248;-0.01891654
1_-4_-4_0_-1;-0.0008595607;2.584521;0.008338847
1_-4_-4_4_-1;-6.200244E-27;1.573549;0.1454589
1_-4_-4_-5_-1;-6.853734E-27;0.3328555;6.980863E-21
0_-4_-4_4_-1;7.006492E-42;1.862889;1.658911E-37
-1_-4_-4_4_-1;2.816598E-16;2.273547E-09;6.259615
-1_-4_-4_-5_-1;0.3332853;1.590704;14.0952
-1_-4_-4_0_-1;0.6367021;3.676399;14.02985
-2_-4_-4_4_-1;1.303439E-18;3.223723E-16;0.4262038
-2_-4_-4_0_-1;0.07552127;0.3666289;1.80735
-3_-4_-4_4_-1;-0.04547354;-0.05432952;-0.05927636
-2_-4_-4_-5_-1;-0.006879383;1.790812;0.2972859
-3_-4_-4_0_-1;-0.04258988;-0.0678788;-0.03853105
-3_-4_-4_-5_-1;-0.03968513;-0.04286805;-0.01766187
-4_-4_-4_4_-1;-0.04239066;-0.05310278;-0.04974897
-4_-4_-4_0_-1;-0.0362258;-0.06942594;-0.05602414
-4_-4_-4_-5_-1;-0.02807801;-0.04057443;-0.03996227
-5_-4_-4_0_-1;-0.01273272;-0.01095804;-0.009641771
-5_-4_-4_4_-1;-0.01675644;-0.02027087;-0.02064333
-5_-4_-4_-5_-1;-0.01406077;-0.008589315;-0.02361488
-6_-4_-4_4_-1;-0.0162869;-0.01637763;-0.02319125
-6_-4_-4_0_-1;-0.01536629;-0.01996775;-0.01319449
-6_-4_-4_-5_-1;-0.008418669;-0.02471177;-0.01131085
-7_-4_-4_0_-1;-0.00776468;-0.004501312;-0.00482134
-7_-4_-4_4_-1;-0.009292954;-0.01270029;-0.01142927
-7_-4_-4_-5_-1;-0.009031445;-0.005717728;-0.002764151
-7_3_-4_0_1;-0.003309548;-0.005908304;-0.002927537
-7_3_-4_4_1;-0.002587132;-0.002680352;-0.0008197412
-7_3_-4_-5_1;-0.002759471;-0.002526714;-0.002208829
-6_3_-4_0_1;-0.01509436;-0.01457174;-0.02085584
-6_3_-4_4_1;-0.01509667;-0.02081621;-0.01819137
-6_3_-4_-5_1;-0.01308191;-0.01869687;-0.01180119
-5_3_-4_-5_1;-0.01013335;-0.01306191;-0.009860732
-5_3_-4_0_1;-0.01513428;-0.02291429;-0.01471098
-5_3_-4_4_1;-0.01430792;-0.01961795;-0.0258285
-4_3_-4_-5_1;-0.04777303;-0.06004711;-0.05412856
-4_3_-4_0_1;-0.04670107;-0.07825125;-0.07267527
-4_3_-4_4_1;-0.04984911;-0.08246771;-0.07707049
-1_3_3_0_1;3.406814E-08;0.4804682;8.162042
-1_3_3_4_1;0.02868997;1.002672E-18;5.655067E-06
0_3_3_0_1;0.06784894;0.0005781874;6.260566
0_-4_3_0_-1;0.0135032;9.556638;1.356631
0_-4_3_4_-1;1.37988E-30;1.383436;1.123477E-15
4_3_-4_-5_1;-0.00368808;-0.00698063;-0.006841278
4_3_-4_4_1;-0.003798325;-0.007064944;-0.00702652
4_3_-4_0_1;-0.003746261;-0.006362659;-0.006778163
5_3_-4_-5_1;-0.00379916;-0.006596738;-0.007024603
5_3_-4_4_1;-0.00380208;-0.007038068;-0.006944154
5_3_-4_0_1;-0.003744383;-0.006686961;-0.006863075
5_-4_-4_-5_-1;-0.002603485;-0.003080619;-0.003444344
5_-4_-4_0_-1;-0.002474782;-0.005001619;-0.005192077
5_-4_-4_4_-1;-0.003540594;-0.005311497;-0.005010228
4_-4_-4_4_-1;-0.003630627;-0.003863794;-0.00447396
4_-4_-4_-5_-1;-0.003318875;-0.003361873;-0.005063525
4_-4_-4_0_-1;-0.003535508;-0.002908314;-0.005204062
3_-4_-4_0_-1;-0.009503;-0.004830354;-0.01062304
3_-4_-4_-5_-1;-0.002933879;-0.003781091;-0.01294555
0_-4_-4_0_-1;0.09162991;9.23741;0.3294407
-3_3_-4_0_1;-0.04869243;-0.08174346;-0.06578672
-3_3_-4_4_1;-0.04915403;-0.08194575;-0.06450967
-2_3_-4_-5_1;8.370664E-05;0.003162431;1.729173
-2_3_-4_4_1;-4.670131E-39;0.4992832;0.0004030175
1_3_3_0_1;-0.01539858;-0.121159;1.514717
1_3_3_4_1;0.0260741;-0.1853238;1.253655
2_3_3_-5_1;-0.04964044;-0.07178095;-0.2087567
2_3_3_4_1;-0.04990355;-0.2226256;-0.2202979
2_3_3_0_1;-0.0358119;-0.277014;-0.1959572
3_3_3_-5_1;-0.05666562;-0.09153812;-0.1066244
3_3_3_0_1;-0.02500932;-0.0890744;-0.1032537
3_3_3_4_1;-0.0123235;-0.08953484;-0.1017126
4_3_3_-5_1;-0.05586617;-0.0893805;-0.09864432
4_3_3_0_1;-0.05008993;-0.07774191;-0.09301595
4_3_3_4_1;-0.05382714;-0.08202805;-0.09473383
5_3_3_-5_1;-0.003177799;-0.002570115;-0.001801264
5_3_3_4_1;-0.003253991;-0.002313436;-0.004430964
5_3_3_0_1;-0.002347899;-0.0001657135;-0.003946641
6_3_3_0_1;-3.857614E-07;-6.142076E-07;-3.982132E-07
6_3_3_4_1;-8.084728E-05;-4.273587E-07;-3.340081E-07
6_3_3_-5_1;-8.386435E-05;-4.369609E-07;-6.19535E-07
7_3_3_-5_1;-7.580529E-18;-2.828542E-12;-1.861472E-12
7_3_3_4_1;-2.156311E-12;-3.673149E-12;-7.594672E-18
7_3_3_0_1;-2.611721E-12;-2.337084E-12;-3.137445E-12
6_-4_3_4_-1;-5.472766E-09;-6.408785E-09;-9.898184E-09
6_-4_3_0_-1;-7.703783E-09;-7.637013E-09;-4.90924E-09
6_-4_3_-5_-1;-4.393203E-09;-1.05673E-08;-9.489762E-09
5_-4_3_0_-1;-2.309201E-07;-1.035077E-08;-5.842352E-08
5_-4_3_4_-1;-1.845389E-07;-9.293001E-09;-2.801233E-07
5_-4_3_-5_-1;-1.325081E-07;-2.130273E-07;-1.68584E-07
4_-4_3_4_-1;-1.656795E-07;-4.644336E-07;-4.452415E-07
4_-4_3_0_-1;-3.192947E-07;-4.196016E-07;-4.139839E-07
4_-4_3_-5_-1;-2.785733E-07;-2.556469E-07;-3.392003E-07
3_-4_3_0_-1;-1.857573E-06;-7.468462E-07;-2.631819E-06
3_-4_3_-5_-1;-1.860064E-06;-1.989194E-06;-1.717215E-06
3_-4_3_4_-1;-1.510158E-06;-2.686176E-06;-2.313008E-06
2_-4_3_4_-1;-0.0004748324;-0.0007803289;-6.550463E-05
2_-4_3_-5_-1;-0.00257972;-0.001099095;-0.0007451924
2_-4_3_0_-1;-0.0006665589;-0.0007095215;-0.0008105599
1_-4_3_0_-1;0.05818848;2.268671;0.003825124
1_-4_3_4_-1;-7.233079E-05;1.676272;-0.001119634
1_-4_3_-5_-1;-0.0008540544;-0.00521797;-0.001111098
-1_3_3_-5_1;0.02016306;7.952996;3.036673E-37
6_3_-4_0_1;-0.001905816;-0.002498116;-2.29064E-06
6_3_-4_4_1;-0.002326011;-0.0023475;-0.003425664
6_3_-4_-5_1;-0.003363895;-0.002226844;-0.004351899
7_3_-4_0_1;-7.006492E-42;-7.006492E-42;-7.006492E-42
7_3_-4_-5_1;-7.006492E-42;-7.006492E-42;-7.006492E-42
7_-4_-4_-5_-1;-7.006492E-42;-7.006492E-42;-7.006492E-42
7_-4_-4_0_-1;-7.006492E-42;-7.006492E-42;-7.006492E-42
7_-4_-4_4_-1;7.006492E-42;-7.006492E-42;-7.006492E-42
6_-4_-4_4_-1;-0.002395036;-2.810202E-06;-0.001940754
6_-4_-4_0_-1;-0.002491922;-0.001911115;-3.207244E-06
6_-4_-4_-5_-1;-0.002525811;-0.002632728;-0.002117188
-1_3_-4_4_1;2.344483E-18;1.034379E-15;3.298456
7_-4_3_0_-1;-2.127286E-12;-9.884327E-24;-2.623355E-12
7_-4_3_4_-1;-2.870705E-12;-1.81852E-12;-5.038375E-24
-3_3_-4_-5_1;-0.04350121;-0.06114234;-0.0628738
0_3_3_-5_1;1.04646E-12;5.934546;0.0003522329
1_3_3_-5_1;-0.08977861;0.3065364;1.546631
0_-4_-4_-5_-1;0.3550836;9.681031;2.600478
-6_-4_3_0_-1;-0.02032032;-0.01946802;-0.03942156
-6_3_3_4_1;-0.01506885;-0.02975914;-0.02714677
-5_3_3_0_1;-0.6176903;-0.7006617;-0.9289747
-5_3_3_4_1;-0.02368621;-0.2060013;-1.159207
0_3_3_4_1;0.06131413;0.01239867;0.6669738
-4_0_0_0_-1;-5.169229E-23;-1.343697E-22;-2.705647E-23
1_0_0_4_-1;-1.173441E-23;-5.098638E-23;7.084575E-22
2_0_0_0_-1;-8.632687E-22;-4.872226E-22;-1.901188E-22
1_0_0_-5_-1;5.178792E-21;-4.755735E-39;-7.263661E-27
3_0_0_0_-1;-1.489743E-22;-5.492293E-24;-3.34257E-23
-6_-4_3_4_-1;-0.02222977;-0.02825349;-0.03628564
-6_-4_3_-5_-1;-0.02428553;-0.02444175;-0.03945163
-6_3_3_-5_1;-0.02327979;-0.02874893;-0.036732
-6_3_3_0_1;-0.02207979;-0.03677963;-0.03223102
-7_-4_3_0_-1;-0.02194855;-0.03215457;-0.03308999
-7_-4_3_4_-1;-0.02378448;-0.02961966;-0.02385128
-7_-4_3_-5_-1;-0.02269704;-0.02678902;-0.02409856
-7_3_3_-5_1;-0.02144991;-0.03835851;-0.02711746
-7_3_3_0_1;-0.02305119;-0.03497677;-0.03355288
-7_3_3_4_1;-0.02258288;-0.02793836;-0.03573092
-8_-4_3_4_-1;-0.0004681715;-0.01527369;-0.0225383
-8_-4_3_-5_-1;-0.01793734;-0.01852279;-0.02954394
-8_-4_3_0_-1;-0.0143414;-0.0009018941;-0.01694308
-2_0_0_0_-1;-6.784981E-38;-7.006492E-42;2.206755E-30
-8_3_3_4_1;-0.01288945;-0.01299086;-0.01683124
-8_3_3_0_1;-0.01493596;-0.000701074;-0.01310786
-8_3_3_-5_1;-0.0004399698;-0.01540174;-0.0004167332
-9_-4_3_0_-1;-7.583418E-31;-1.190327E-30;-7.516638E-31
-9_-4_3_-5_-1;-8.291085E-31;-1.363898E-30;-7.728232E-31
-9_-4_3_4_-1;-8.872894E-31;-6.944657E-31;-1.426766E-30
-10_-4_3_0_-1;-1.018958E-30;-1.900588E-30;-1.887945E-30
-10_-4_3_-5_-1;-9.994188E-31;-1.805429E-30;-1.831548E-30
-10_-4_3_4_-1;-9.169996E-31;-1.853131E-30;-1.686166E-30
-4_0_0_-5_-1;-2.858727E-24;-6.45082E-33;-5.119938E-34
-4_0_0_4_-1;-1.431221E-22;-1.676995E-21;-4.856031E-23
-3_0_0_4_-1;-1.637305E-21;-2.419531E-21;-6.909046E-22
-2_0_3_3_-1;7.006492E-42;7.006492E-42;7.006492E-42
-2_0_3_0_-1;7.006492E-42;4.640996E-38;7.006492E-42
-2_0_3_4_-1;7.006492E-42;7.006492E-42;7.725207E-39
-2_0_3_-5_-1;7.006492E-42;2.355226E-38;7.006492E-42
-2_0_0_-5_-1;-7.006492E-42;9.376421E-32;-7.006492E-42
-8_-4_-4_0_-1;-0.003050581;-0.002400858;-0.004162909
-8_-4_-4_-5_-1;-0.001554447;-0.003962833;-0.004376787
-8_-4_-4_4_-1;-0.001342743;-0.003500395;-0.0006895619
-8_3_-4_0_1;-0.001951208;-0.002800522;-0.002895223
-8_3_-4_-5_1;-0.002666673;-7.269478E-05;-1.275668E-06
-8_3_-4_4_1;-0.002774566;-0.003560332;-0.0003728573
-3_0_0_0_-1;-4.523711E-25;-7.295476E-33;-5.377253E-30
-1_0_0_0_-1;6.205331E-33;7.006492E-42;7.006492E-42
-9_-4_-4_4_-1;-1.463534E-07;-2.645397E-07;-7.829823E-08
-9_-4_-4_0_-1;-1.847516E-07;-3.143255E-07;-2.599625E-07
-9_-4_-4_-5_-1;-1.701923E-07;-1.191193E-07;-1.051171E-07
-10_-4_-4_0_-1;-1.958762E-18;-5.443191E-08;-3.976097E-08
-10_-4_-4_4_-1;-2.383593E-18;-6.762005E-19;-1.80622E-18
-10_-4_-4_-5_-1;-1.382401E-18;-1.792793E-18;-5.424082E-08
2_0_0_4_-1;-1.677883E-21;-2.210717E-21;-1.007027E-21
-2_0_0_4_-1;-2.755495E-27;-7.25452E-26;-1.588223E-30
1_4_3_4_1;-2.336692E-35;-7.006492E-42;-5.221614E-29
1_4_3_0_1;-7.006492E-42;-5.129879E-29;-4.003943E-34
1_4_3_-5_1;-6.127288E-29;-5.43615E-29;-8.782679E-32
2_4_3_-5_1;-6.510832E-29;-8.934278E-29;-6.565176E-29
2_4_3_0_1;-6.612238E-29;-5.716598E-29;-1.133713E-28
2_4_3_4_1;-7.006492E-42;-7.559551E-29;-8.041999E-29
3_4_3_-5_1;-6.128975E-29;-1.038802E-28;-8.155584E-29
3_4_3_4_1;-5.461966E-29;-8.245397E-29;-6.456617E-29
3_4_3_0_1;-4.855889E-29;-9.78928E-29;-9.151654E-29
4_4_3_-5_1;-5.294032E-29;-9.412142E-29;-5.497741E-29
4_4_3_0_1;-7.388302E-29;-9.757535E-29;-5.948265E-29
4_4_3_4_1;-5.807146E-29;-7.364052E-29;-9.78756E-29
5_4_3_-5_1;-6.786299E-29;-5.847409E-29;-8.191974E-29
5_4_3_0_1;-6.535951E-29;-7.006492E-42;-1.007367E-28
5_4_3_4_1;-7.942495E-29;-3.882352E-29;-1.189507E-28
6_4_3_-5_1;-6.444287E-29;-5.587652E-29;-1.09466E-28
6_4_3_0_1;-4.354882E-29;-7.006492E-42;-6.918463E-29
6_4_3_4_1;-6.815456E-29;-7.462007E-29;-6.22425E-29
-2_-5_3_-5_-1;-5.247088E-34;7.006492E-42;-2.712796E-35
-2_-5_3_0_-1;7.006492E-42;7.006492E-42;-1.115037E-35
-3_-5_3_0_-1;-8.14809E-33;-6.321267E-33;-3.890203E-35
-3_-5_3_4_-1;-9.039801E-33;-5.86098E-33;-9.464794E-33
-3_-5_3_-5_-1;-6.889082E-33;-6.31307E-33;-3.580601E-35
-4_-5_3_4_-1;-7.643023E-33;-9.386436E-33;-4.923868E-33
-4_-5_3_0_-1;-8.945754E-33;-1.15664E-32;-5.943782E-33
-4_-5_3_-5_-1;-7.17877E-33;-1.002624E-32;-3.8942E-37
-5_-5_3_4_-1;-8.720697E-33;-5.811027E-33;-1.414463E-32
-5_-5_3_0_-1;-5.967139E-33;-2.847129E-37;-7.694599E-33
-5_-5_3_-5_-1;-7.71838E-33;-8.286143E-33;-1.151718E-32
-3_0_0_-5_-1;-9.883229E-24;-5.531504E-24;-2.147125E-23
8_3_3_0_1;-7.006492E-42;-7.006492E-42;-7.006492E-42
8_3_3_-5_1;-7.006492E-42;-7.006492E-42;-7.006492E-42
3_0_0_4_-1;-6.712618E-30;-7.582352E-25;-6.896392E-31
-1_0_0_4_-1;7.006492E-42;7.006492E-42;8.664974E-25
7_3_-4_4_1;-7.006492E-42;-7.006492E-42;-7.006492E-42
8_3_3_4_1;7.006492E-42;7.006492E-42;-7.006492E-42
3_0_0_-5_-1;-1.023991E-23;-2.876057E-25;-5.139859E-23
1_0_3_-4_-1;7.006492E-42;0.0002340148;7.006492E-42
1_0_3_0_-1;-2.604543E-32;-3.098297E-32;-3.084812E-32
1_0_3_4_-1;-2.565314E-32;-1.788961E-32;-2.950171E-32
1_0_3_-5_-1;-2.621561E-32;-3.078447E-32;-3.907323E-32
0_0_0_4_-1;1.360878E-26;7.006492E-42;7.006492E-42
0_0_0_-5_-1;1.257377E-23;7.006492E-42;7.006492E-42
2_0_0_-5_-1;-1.111448E-22;-5.181002E-23;-8.233739E-22
-1_0_0_-5_-1;7.006492E-42;7.006492E-42;3.626472E-22
1_0_0_0_-1;-3.014948E-31;-1.138808E-24;-1.42518E-30
-2_4_3_4_1;8.608429E-40;3.710228E-39;8.608429E-40
-2_-5_3_3_-1;1.507678E-36;1.507678E-36;5.69383E-35
1_4_3_-4_1;1.832865E-36;1.832865E-36;4.09834E-12
1_-5_3_4_-1;2.280682E-32;-2.747415E-34;1.833415E-36
1_-5_3_0_-1;2.137981E-32;1.833598E-36;1.833598E-36
0_-5_3_4_-1;5.873262E-32;1.834149E-36;1.834149E-36
-1_-5_3_4_-1;1.835066E-36;1.835066E-36;4.72057E-31
-1_-5_3_-5_-1;2.865775E-34;8.250292E-35;8.10672E-31
-1_-5_3_0_-1;5.935648E-36;1.100502E-34;1.840765E-36
-2_-5_3_4_-1;-4.170874E-33;-1.841789E-35;-6.548007E-33
7_-4_3_-5_-1;-1.638035E-12;-7.024716E-24;-6.852565E-24
1_-5_3_-5_-1;-4.183594E-34;-6.246694E-32;2.768296E-35
-6_-5_3_0_-1;-8.764966E-33;-1.309943E-32;-5.887263E-33
-6_-5_3_4_-1;-5.680647E-33;-7.695193E-33;-6.537046E-33
-6_-5_3_-5_-1;-6.560948E-33;-6.527824E-33;4.594622E-34
-7_-5_3_4_-1;-6.554792E-33;-1.109491E-32;-5.565238E-33
-7_-5_3_-5_-1;-4.763908E-33;-6.373079E-33;4.597844E-34
-7_-5_3_0_-1;-7.453749E-33;-9.805867E-33;-4.632939E-33
-8_-5_3_0_-1;-8.875755E-33;-1.165969E-32;-7.832777E-33
-8_-5_3_4_-1;-7.423055E-33;-7.750399E-33;-7.584874E-33
-8_-5_3_-5_-1;-4.78648E-33;-1.071958E-32;4.603366E-34
